"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.12825000002E+007,  0.17945949421E+002,  0.00000000000E+000,  0.41067615024E-003,  0.00000000000E+000,  0.00000000000E+000,  0.12660171570E-005,  0.16689735937E-007
  0.12825000005E+007,  0.17945949421E+002,  0.00000000000E+000,  0.41067615024E-003,  0.00000000000E+000,  0.00000000000E+000,  0.12660171570E-005,  0.16689735937E-007
  0.12825000007E+007,  0.17945949421E+002,  0.00000000000E+000,  0.41067615024E-003,  0.00000000000E+000,  0.00000000000E+000,  0.12660171570E-005,  0.16689735937E-007
