"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.12825000002E+007,  0.17845351924E+002,  0.00000000000E+000,  0.40846793510E-003,  0.00000000000E+000,  0.00000000000E+000,  0.13123603600E-005,  0.15925569350E-007
  0.12825000005E+007,  0.17845351924E+002,  0.00000000000E+000,  0.40846793510E-003,  0.00000000000E+000,  0.00000000000E+000,  0.13123603600E-005,  0.15925569350E-007
  0.12825000007E+007,  0.17845351924E+002,  0.00000000000E+000,  0.40846793510E-003,  0.00000000000E+000,  0.00000000000E+000,  0.13123603600E-005,  0.15925569350E-007
