Time,P_Ste_S.y,stePre.y[1]
8758211,900413.56,892917.25
8758800,900388.06,889521
8758800,900388.06,889521
8759074,900387.9,893180.9
8759700,900388.1,901560
8759700,900388.1,901560
8759936,900414.94,901265.75
8760600,900495.25,900437
8760600,900495.25,900437
8760798,900493.8,900644.44
8761500,900482.8,901380
8761500,900482.8,901380
8761660,900469,900852.75
8762400,900401.44,898418
8762400,900401.44,898418
8762522,900402.75,898594.5
8763300,900418.75,899716
8763300,900418.75,899716
8763385,900419.7,899533.75
8764200,900427.5,897777
8764200,900427.5,897777
8764247,900427.56,897929.6
8765100,900423.75,900712
8765100,900423.75,900712
8765109,900423.6,900691.06
8765971,900402.6,898683.06
8766000,900401.94,898616
8766000,900401.94,898616
8766833,900476.2,898222.44
8766900,900482.25,898191
8766900,900482.25,898191
8767696,900404.6,897379.5
8767800,900394.2,897273
8767800,900394.2,897273
8768558,900426.56,899730.8
8768700,900432.94,900192
8768700,900432.94,900192
8769420,900459.5,902080.8
8769600,900466.1,902553
8769600,900466.1,902553
8770282,900453.5,901661.56
8770500,900449.3,901377
8770500,900449.3,901377
8771144,900439,901800.9
8771400,900434.9,901969
8771400,900434.9,901969
8772007,900415.2,900193.7
8772300,900405.6,899335
8772300,900405.6,899335
8772869,900467.3,900315.25
8773200,900504.44,900886
8773200,900504.44,900886
8773731,900434.6,899979.75
8774100,900384.4,899350
8774100,900384.4,899350
8774593,900450.44,899862.94
8775000,900507.8,900286
8775000,900507.8,900286
8775455,900476.8,899498.2
8775900,900444.25,898729
8775900,900444.25,898729
8776318,900426.44,900636.5
8776800,900406.25,902840
8776800,900406.25,902840
8777180,900451.7,901534.3
8777700,900516.8,899746
8777700,900516.8,899746
8778042,900467,900138.94
8778600,900381.1,900780
8778600,900381.1,900780
8778904,900382.75,901135.56
8779500,900389.56,901832
8779500,900389.56,901832
8779766,900376.1,901670.7
8780400,900342.6,901287
8780400,900342.6,901287
8780629,900358.8,901427.44
8781300,900411,901840
8781300,900411,901840
8781491,900419,901800.75
8782200,900446.94,901655
8782200,900446.94,901655
8782353,900455.5,901541.44
8783100,900498.8,900987
8783100,900498.8,900987
8783215,900498.6,900752.9
8784000,900491.56,899158
8784000,900491.56,899158
8784077,900484.3,899182.6
8784900,900396.56,899444
8784900,900396.56,899444
8784940,900399,899352.4
8785800,900504.2,897361
8785800,900504.2,897361
8785802,900504.4,897361.1
8786664,900411.25,897409
8786700,900407.25,897411
8786700,900407.25,897411
8787526,900444.3,896749.1
8787600,900447.75,896690
8787600,900447.75,896690
8788388,900430.2,894635.75
8788500,900427.6,894345
8788500,900427.6,894345
8789251,900463.4,897144.75
8789400,900470.7,897702
8789400,900470.7,897702
8790113,900411,898732.4
8790300,900395,899003
8790300,900395,899003
8790975,900443.94,899006
8791200,900460.9,899007
8791200,900460.9,899007
8791837,900427,897916.7
8792100,900412.44,897467
8792100,900412.44,897467
8792699,900464.6,898427.4
8793000,900491.7,898909
8793000,900491.7,898909
8793562,900477.7,897706.56
8793900,900468.5,896982
8793900,900468.5,896982
8794424,900459.2,898613.4
8794800,900452.56,899785
8794800,900452.56,899785
8795286,900457.8,899084.6
8795700,900462.5,898488
8795700,900462.5,898488
8796148,900470.6,898049.75
8796600,900479,897608
8796600,900479,897608
8797010,900496.8,899271.94
8797500,900518.5,901257
8797500,900518.5,901257
8797873,900491.2,900184.75
8798400,900450.75,898667
8798400,900450.75,898667
8798735,900463.94,898097.8
8799300,900488.4,897137
8799300,900488.4,897137
8799597,900507.7,897852.44
8800200,900547.6,899305
8800200,900547.6,899305
8800459,900556.06,899362
8801100,900576.06,899503
8801100,900576.06,899503
8801321,900571.5,899408.3
8802000,900555.3,899118
8802000,900555.3,899118
8802184,900541.06,899315.06
8802900,900483.3,900084
8802900,900483.3,900084
8803046,900500.4,899837.75
8803800,900601,898564
8803800,900601,898564
8803908,900598.06,898706.94
8804700,900563,899755
8804700,900563,899755
8804770,900557.06,899982
8805600,900479.3,902665
8805600,900479.3,902665
8805632,900476.7,902499.1
8806495,900413.8,898085.6
8806500,900413.44,898058
8806500,900413.44,898058
8807357,900467.56,901290.06
8807400,900470.4,901453
8807400,900470.4,901453
8808219,900440.94,900745.94
8808300,900437.94,900676
8808300,900437.94,900676
8809081,900475.7,898348
8809200,900481.56,897994
8809200,900481.56,897994
8809943,900404.8,901463.2
8810100,900388.4,902194
8810100,900388.4,902194
8810806,900489.7,899268.1
8811000,900518.44,898462
8811000,900518.44,898462
8811668,900458.25,897997.5
8811900,900436.5,897836
8811900,900436.5,897836
8812530,900443,901200.2
8812800,900446.3,902642
8812800,900446.3,902642
8813392,900418.56,902254.44
8813700,900403.75,902053
8813700,900403.75,902053
8814254,900415.6,899593.3
8814600,900423.5,898060
8814600,900423.5,898060
8815117,900476.7,898317.75
8815500,900517.2,898509
8815500,900517.2,898509
8815979,900487.4,899939.56
8816400,900459.5,901198
8816400,900459.5,901198
8816841,900497.56,901791.9
8817300,900538.94,902410
8817300,900538.94,902410
8817703,900544.8,901349.1
8818200,900551.2,900042
8818200,900551.2,900042
8818565,900478.6,900538.1
8819100,900370.1,901264
8819100,900370.1,901264
8819428,900397.94,901479.1
8820000,900452.1,901855
8820000,900452.1,901855
8820290,900456.4,902489.3
8820900,900463.44,903825
8820900,900463.44,903825
8821152,900447.9,902195.7
8821800,900406,898006
8821800,900406,898006
8822014,900420.7,899050.1
8822700,900472.4,902393
8822700,900472.4,902393
8822876,900471,901478.7
8823600,900461.75,897728
8823600,900461.75,897728
8823739,900470.75,897751.56
8824500,900525.6,897881
8824500,900525.6,897881
8824601,900508.5,898013.6
8825400,900351.56,899065
8825400,900351.56,899065
8825463,900364.2,899089.06
8826300,900597.7,899409
8826300,900597.7,899409
8826325,900596.2,899426.75
8827187,900372.56,900033.1
8827200,900369.3,900042
8827200,900369.3,900042
8828050,900464.1,899158.44
8828100,900470,899106
8828100,900470,899106
8828912,900460.06,895260.75
8829000,900458.8,894843
8829000,900458.8,894843
8829774,900457.7,897078.1
8829900,900457.56,897442
8829900,900457.56,897442
8830636,900488.1,892718.9
8830800,900495.06,891668
8830800,900495.06,891668
