Time,Qboi_S.y,MeaData.y[1],T_exh_S.y,MeaData.y[3],boi.VLiq,boi.V,mFueFlo_S.y,MeaData.y[2],T_Ste_S.y,MeaData.y[4],boi.furHeaBal.eta_boi,boi.furHeaBal.per_exh
8696133,4193240.2,4241654,491.63092,491.663,25.12315,50,0.10156138,0.1040837,448.40485,452.4,0.83652526,0.053891227
8696700,4184117.8,4231822,491.6285,491.6,25.132114,50,0.10132648,0.10409,448.4041,452.4,0.83652467,0.053891852
8696700,4184117.8,4231822,491.6285,491.6,25.132114,50,0.10132648,0.10409,448.4041,452.4,0.83652467,0.053891852
8696995,4187012,4234906,491.64166,491.6328,25.136812,50,0.10140069,0.10406048,448.40424,452.4,0.83652747,0.053889032
8697600,4192968,4241224,491.6702,491.7,25.143133,50,0.10155271,0.104,448.4048,452.4,0.8365389,0.053877614
8697600,4192968,4241224,491.6702,491.7,25.143133,50,0.10155271,0.104,448.4048,452.4,0.8365389,0.053877614
8697857,4190759.5,4238818,491.67807,491.6714,25.145153,50,0.1014952,0.10400572,448.40472,452.4572,0.83654404,0.05387244
8698500,4185246.2,4232811,491.7112,491.6,25.152546,50,0.10135162,0.10402,448.4043,452.6,0.83655703,0.053859476
8698500,4185246.2,4232811,491.7112,491.6,25.152546,50,0.10135162,0.10402,448.4043,452.6,0.83655703,0.053859476
8698720,4185139.8,4232683,491.72238,491.6,25.155628,50,0.10134855,0.10401756,448.40424,452.5268,0.8365597,0.053856768
8699400,4184776.5,4232286,491.72702,491.6,25.164421,50,0.10133905,0.10401,448.4042,452.3,0.8365609,0.05385557
8699400,4184776.5,4232286,491.72702,491.6,25.164421,50,0.10133905,0.10401,448.4042,452.3,0.8365609,0.05385557
8699582,4183982.5,4231457.5,491.72424,491.6,25.166584,50,0.10131874,0.10401202,448.40417,452.3404,0.8365597,0.053856783
8700300,4180806.5,4228185,491.69232,491.6,25.174458,50,0.101238504,0.10402,448.40408,452.5,0.8365467,0.0538698
8700300,4180806.5,4228185,491.69232,491.6,25.174458,50,0.101238504,0.10402,448.40408,452.5,0.8365467,0.0538698
8700444,4183064.5,4230624.5,491.69232,491.632,25.175892,50,0.10129682,0.1040216,448.40417,452.5,0.8365454,0.053871073
8701200,4195006,4243433,491.71915,491.8,25.18195,50,0.10160299,0.10403,448.40506,452.5,0.8365571,0.0538594
8701200,4195006,4243433,491.71915,491.8,25.18195,50,0.10160299,0.10403,448.40506,452.5,0.8365571,0.0538594
8701306,4194649,4243031.5,491.71957,491.8236,25.18264,50,0.10159359,0.10402646,448.40512,452.4764,0.83655876,0.053857736
8702100,4191933.5,4240032,491.72614,492,25.189371,50,0.101523384,0.104,448.40485,452.3,0.8365609,0.053855564
8702100,4191933.5,4240032,491.72614,492,25.189371,50,0.101523384,0.104,448.40485,452.3,0.8365609,0.053855564
8702168,4192007.8,4240116,491.72684,491.9696,25.190065,50,0.1015253,0.10400076,448.40485,452.2924,0.83656096,0.053855557
8703000,4192909.5,4241140,491.72766,491.6,25.19753,50,0.10154852,0.10401,448.4049,452.2,0.83656096,0.053855535
8703000,4192909.5,4241140,491.72766,491.6,25.19753,50,0.10154852,0.10401,448.4049,452.2,0.83656096,0.053855535
8703031,4191632,4239763.5,491.72528,491.6034,25.197775,50,0.10151562,0.10401102,448.4049,452.2034,0.83656096,0.053855535
8703893,4155637.8,4200981,491.71408,491.6992,25.209862,50,0.1005885,0.10403976,448.40237,452.2992,0.83656096,0.053855535
8703900,4155337,4200657,491.71408,491.7,25.210007,50,0.10058076,0.10404,448.40234,452.3,0.83656096,0.053855535
8703900,4155337,4200657,491.71408,491.7,25.210007,50,0.10058076,0.10404,448.40234,452.3,0.83656096,0.053855535
8704755,4176414.2,4223281,491.76642,491.795,25.224436,50,0.10112204,0.1039925,448.40363,452.3,0.8365743,0.05384218
8704800,4177524.5,4224472,491.7687,491.8,25.22503,50,0.10115052,0.10399,448.4037,452.3,0.8365752,0.053841278
8704800,4177524.5,4224472,491.7687,491.8,25.22503,50,0.10115052,0.10399,448.4037,452.3,0.8365752,0.053841278
8705617,4199844,4248510.5,491.78262,492.1632,25.233633,50,0.10172493,0.10405356,448.40543,452.4816,0.8365791,0.05383741
8705700,4202104,4250946,491.78268,492.2,25.234276,50,0.101783134,0.10406,448.4056,452.5,0.8365791,0.053837392
8705700,4202104,4250946,491.78268,492.2,25.234276,50,0.101783134,0.10406,448.4056,452.5,0.8365791,0.053837392
8706479,4188581.5,4236399,491.7688,492.1134,25.2412,50,0.101434834,0.10406,448.40475,452.3268,0.83657914,0.05383736
8706600,4186489,4234148,491.7688,492.1,25.242483,50,0.101380944,0.10406,448.40457,452.3,0.83657914,0.05383736
8706600,4186489,4234148,491.7688,492.1,25.242483,50,0.101380944,0.10406,448.40457,452.3,0.83657914,0.05383736
8707342,4191984.2,4240054.5,491.7766,491.9352,25.250055,50,0.10152248,0.10404352,448.40485,452.3,0.83657914,0.05383736
8707500,4193158,4241316,491.7766,491.9,25.251543,50,0.10155271,0.10404,448.40494,452.3,0.83657914,0.05383736
8707500,4193158,4241316,491.7766,491.9,25.251543,50,0.10155271,0.10404,448.40494,452.3,0.83657914,0.05383736
8708204,4184636,4232073.5,491.77045,491.9782,25.256298,50,0.10133321,0.10402436,448.4045,452.3782,0.83657914,0.05383736
8708400,4182260.2,4229497,491.77045,492,25.257076,50,0.10127202,0.10402,448.40436,452.4,0.83657914,0.05383736
8708400,4182260.2,4229497,491.77045,492,25.257076,50,0.10127202,0.10402,448.40436,452.4,0.83657914,0.05383736
8709066,4189827.5,4237800,491.71255,492.074,25.260015,50,0.10147043,0.1039978,448.4048,452.474,0.83655024,0.053866237
8709300,4192468.2,4240717,491.67685,492.1,25.261404,50,0.10154014,0.10399,448.40497,452.5,0.83653635,0.053880174
8709300,4192468.2,4240717,491.67685,492.1,25.261404,50,0.10154014,0.10399,448.40497,452.5,0.83653635,0.053880174
8709928,4196359,4244885,491.67685,492.2396,25.265656,50,0.10163957,0.10404584,448.4052,452.5,0.83654284,0.053873677
8710200,4198078,4246688,491.70316,492.3,25.267649,50,0.10168259,0.10407,448.40533,452.5,0.8365533,0.05386323
8710200,4198078,4246688,491.70316,492.3,25.267649,50,0.10168259,0.10407,448.40533,452.5,0.8365533,0.05386323
8710790,4199790.5,4248393,491.7631,492.0376,25.272425,50,0.10172381,0.10403064,448.40543,452.5,0.83657694,0.05383954
8711100,4200688.5,4249287,491.79535,491.9,25.275213,50,0.10174543,0.10401,448.40546,452.5,0.83658946,0.053827036
8711100,4200688.5,4249287,491.79535,491.9,25.275213,50,0.10174543,0.10401,448.40546,452.5,0.83658946,0.053827036
8711653,4200119,4248811,491.77054,491.9614,25.280167,50,0.10173257,0.10402228,448.4055,452.3772,0.83657455,0.053841922
8712000,4199710,4248512,491.71954,492,25.283075,50,0.10172448,0.10403,448.40552,452.3,0.8365544,0.05386209
8712000,4199710,4248512,491.71954,492,25.283075,50,0.10172448,0.10403,448.40552,452.3,0.8365544,0.05386209
8712515,4202574.5,4251615.5,491.6995,491.8856,25.286451,50,0.101798765,0.10401856,448.40567,452.2428,0.8365503,0.05386623
8712900,4204765,4253938,491.71625,491.8,25.287859,50,0.101854354,0.10401,448.40582,452.2,0.83655715,0.053859327
8712900,4204765,4253938,491.71625,491.8,25.287859,50,0.101854354,0.10401,448.40582,452.2,0.83655715,0.053859327
8713377,4194666,4242982.5,491.7449,491.906,25.290413,50,0.10159235,0.1040312,448.40518,452.253,0.8365727,0.053843804
8713800,4185724.2,4233267,491.78784,492,25.295189,50,0.10136,0.10405,448.4045,452.3,0.83658946,0.053827025
8713800,4185724.2,4233267,491.78784,492,25.295189,50,0.10136,0.10405,448.4045,452.3,0.83658946,0.053827025
8714239,4199360.5,4247967.5,491.80603,492,25.299942,50,0.101711646,0.10403536,448.4053,452.3488,0.83658594,0.053830586
